2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1948, Month=5, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1949, Month=5, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1949, Month=7, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1949, Month=None, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1949, Month=8, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1949, Month=10, Day=None
2024-09-14 00:12:00,806 - WARNING - Invalid date encountered: Year=1950, Month=11, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1950, Month=4, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1951, Month=5, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1951, Month=2, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1951, Month=None, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1952, Month=12, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1952, Month=9, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=1, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=7, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=3, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=10, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=2, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1953, Month=6, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1954, Month=7, Day=None
2024-09-14 00:12:00,815 - WARNING - Invalid date encountered: Year=1954, Month=8, Day=None
2024-09-14 00:12:00,822 - WARNING - Invalid date encountered: Year=1954, Month=12, Day=None
2024-09-14 00:12:00,822 - WARNING - Invalid date encountered: Year=1954, Month=3, Day=None
2024-09-14 00:12:00,823 - WARNING - Invalid date encountered: Year=1954, Month=1, Day=None
2024-09-14 00:12:00,823 - WARNING - Invalid date encountered: Year=1954, Month=2, Day=None
2024-09-14 00:12:00,824 - WARNING - Invalid date encountered: Year=1955, Month=2, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1955, Month=4, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=7, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=3, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=3, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=8, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=None, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=12, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1956, Month=10, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1957, Month=12, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1957, Month=7, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1957, Month=10, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1958, Month=7, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1958, Month=5, Day=None
2024-09-14 00:12:00,825 - WARNING - Invalid date encountered: Year=1958, Month=9, Day=None
2024-09-14 00:12:00,830 - WARNING - Invalid date encountered: Year=1958, Month=6, Day=None
2024-09-14 00:12:00,830 - WARNING - Invalid date encountered: Year=1958, Month=5, Day=None
2024-09-14 00:12:00,830 - WARNING - Invalid date encountered: Year=1959, Month=7, Day=None
