2024-09-14 21:52:45,944 - __main__ - INFO - Starting extraction process...
2024-09-14 21:52:46,093 - root - INFO - Connected to database successfully
2024-09-14 21:52:46,093 - extract - INFO - Extracted columns from CSV file C:\Users\Legion\Desktop\official_data\1900_2021_DISASTERS.csv successfully
2024-09-14 21:52:46,110 - extract - INFO - Created staging table staging_disasters successfully
2024-09-14 21:52:46,184 - extract - INFO - Data loaded into staging table staging_disasters successfully
2024-09-14 21:52:46,193 - __main__ - INFO - Extraction completed successfully.
2024-09-14 21:52:46,193 - __main__ - INFO - Starting transformation process...
2024-09-14 21:52:46,226 - transform - INFO - Connected to database successfully
2024-09-14 21:52:46,568 - transform - INFO - Data fetched successfully for query:  --sql
                SELECT * FROM staging_disasters 
                WHERE TO_CHAR(extraction_time, 'YYYYMMDD') = '20240914';
            
2024-09-14 21:52:46,634 - transform - WARNING - Invalid date encountered: Year=1944, Month=None, Day=None
2024-09-14 21:52:46,634 - transform - WARNING - Invalid date encountered: Year=1945, Month=1, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1946, Month=None, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1946, Month=10, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1946, Month=None, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1947, Month=7, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1947, Month=9, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1948, Month=12, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1948, Month=10, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1948, Month=6, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1948, Month=9, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1948, Month=5, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1949, Month=5, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1949, Month=7, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1949, Month=None, Day=None
2024-09-14 21:52:46,637 - transform - WARNING - Invalid date encountered: Year=1949, Month=8, Day=None
2024-09-14 21:52:46,642 - transform - WARNING - Invalid date encountered: Year=1949, Month=10, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1950, Month=11, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1950, Month=4, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1951, Month=5, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1951, Month=2, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1951, Month=None, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1952, Month=12, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1952, Month=9, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=1, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=7, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=3, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=10, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=2, Day=None
2024-09-14 21:52:46,643 - transform - WARNING - Invalid date encountered: Year=1953, Month=6, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=7, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=8, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=12, Day=None
